======================================================================
  REGISTRO DE REQUESTS - NinoEdu API
  Data/hora : 22/08/2026, 14:54:08
  Formato   : Rodada | Execucao | Itens retornados
Rodada 069 | Execucao 3 | Itens: [MO, ZO, QUO, CO]
Rodada 070 | Execucao 1 | Itens: [TO, ZO, GO, QUO]
Rodada 070 | Execucao 2 | Itens: [NO, VO, GO, JO]
Rodada 070 | Execucao 3 | Itens: [LO, MO, CO, QUO]
Rodada 071 | Execucao 1 | Itens: [PO, DO, BO, GO]
Rodada 071 | Execucao 2 | Itens: [JO, XO, QUO, GO]
Rodada 071 | Execucao 3 | Itens: [PO, VO, QUO, BO]
Rodada 072 | Execucao 1 | Itens: [DO, GO, TO, RO]
Rodada 072 | Execucao 2 | Itens: [XO, SO, ZO, JO]
Rodada 072 | Execucao 3 | Itens: [BO, SO, LO, CO]
Rodada 073 | Execucao 1 | Itens: [RO, MO, VO, LO]
Rodada 073 | Execucao 2 | Itens: [CO, RO, BO, PO]
Rodada 073 | Execucao 3 | Itens: [O, PO, JO, TO]
Rodada 074 | Execucao 1 | Itens: [QUO, XO, VO, PO]
Rodada 074 | Execucao 2 | Itens: [O, BO, CO, SO]
Rodada 074 | Execucao 3 | Itens: [CO, RO, O, FO]
Rodada 075 | Execucao 1 | Itens: [MO, TO, VO, ZO]
Rodada 075 | Execucao 2 | Itens: [BO, GO, DO, QUO]
Rodada 075 | Execucao 3 | Itens: [GO, VO, QUO, NO]
Rodada 076 | Execucao 1 | Itens: [ZO, SO, TO, RO]
Rodada 076 | Execucao 2 | Itens: [NO, BO, JO, TO]
Rodada 076 | Execucao 3 | Itens: [GO, CO, RO, NO]
Rodada 077 | Execucao 1 | Itens: [FO, NO, QUO, ZO]
Rodada 077 | Execucao 2 | Itens: [MO, TO, BO, PO]
Rodada 077 | Execucao 3 | Itens: [PO, TO, QUO, LO]
Rodada 078 | Execucao 1 | Itens: [SO, QUO, PO, RO]
Rodada 078 | Execucao 2 | Itens: [BO, DO, VO, XO]
Rodada 078 | Execucao 3 | Itens: [MO, VO, NO, BO]
Rodada 079 | Execucao 1 | Itens: [XO, QUO, CO, O]
Rodada 079 | Execucao 2 | Itens: [FO, QUO, ZO, VO]
Rodada 079 | Execucao 3 | Itens: [LO, FO, O, MO]
Rodada 080 | Execucao 1 | Itens: [LO, BO, QUO, MO]
Rodada 080 | Execucao 2 | Itens: [NO, O, MO, BO]
Rodada 080 | Execucao 3 | Itens: [ZO, GO, LO, JO]
Rodada 081 | Execucao 1 | Itens: [MO, RO, BO, SO]
Rodada 081 | Execucao 2 | Itens: [ZO, PO, XO, SO]
Rodada 081 | Execucao 3 | Itens: [SO, JO, RO, GO]
Rodada 082 | Execucao 1 | Itens: [DO, BO, MO, RO]
Rodada 082 | Execucao 2 | Itens: [TO, FO, RO, PO]
Rodada 082 | Execucao 3 | Itens: [QUO, DO, VO, O]
Rodada 083 | Execucao 1 | Itens: [CO, FO, JO, QUO]
Rodada 083 | Execucao 2 | Itens: [TO, XO, GO, O]
Rodada 083 | Execucao 3 | Itens: [NO, ZO, MO, SO]
Rodada 084 | Execucao 1 | Itens: [TO, FO, PO, SO]
Rodada 084 | Execucao 2 | Itens: [FO, O, RO, TO]
Rodada 084 | Execucao 3 | Itens: [LO, TO, XO, SO]
Rodada 085 | Execucao 1 | Itens: [VO, FO, TO, CO]
Rodada 085 | Execucao 2 | Itens: [CO, XO, RO, TO]
Rodada 085 | Execucao 3 | Itens: [RO, GO, VO, QUO]
Rodada 086 | Execucao 1 | Itens: [O, VO, MO, FO]
Rodada 086 | Execucao 2 | Itens: [PO, BO, LO, TO]
Rodada 086 | Execucao 3 | Itens: [ZO, CO, RO, VO]
Rodada 087 | Execucao 1 | Itens: [BO, TO, DO, FO]
Rodada 087 | Execucao 2 | Itens: [O, ZO, PO, GO]
Rodada 087 | Execucao 3 | Itens: [MO, DO, PO, GO]
Rodada 088 | Execucao 1 | Itens: [RO, TO, MO, O]
Rodada 088 | Execucao 2 | Itens: [XO, DO, ZO, LO]
Rodada 088 | Execucao 3 | Itens: [QUO, BO, MO, XO]
Rodada 089 | Execucao 1 | Itens: [VO, FO, TO, XO]
Rodada 089 | Execucao 2 | Itens: [FO, PO, TO, RO]
Rodada 089 | Execucao 3 | Itens: [ZO, O, BO, QUO]
Rodada 090 | Execucao 1 | Itens: [ZO, SO, CO, QUO]
Rodada 090 | Execucao 2 | Itens: [NO, JO, GO, FO]
Rodada 090 | Execucao 3 | Itens: [QUO, O, TO, BO]
Rodada 091 | Execucao 1 | Itens: [DO, LO, RO, BO]
Rodada 091 | Execucao 2 | Itens: [JO, QUO, ZO, SO]
Rodada 091 | Execucao 3 | Itens: [RO, O, TO, FO]
Rodada 092 | Execucao 1 | Itens: [RO, O, CO, PO]
Rodada 092 | Execucao 2 | Itens: [DO, VO, FO, XO]
Rodada 092 | Execucao 3 | Itens: [MO, DO, LO, SO]
Rodada 093 | Execucao 1 | Itens: [ZO, O, JO, PO]
Rodada 093 | Execucao 2 | Itens: [RO, DO, SO, MO]
Rodada 093 | Execucao 3 | Itens: [XO, CO, PO, VO]
Rodada 094 | Execucao 1 | Itens: [TO, SO, FO, LO]
Rodada 094 | Execucao 2 | Itens: [VO, QUO, RO, O]
Rodada 094 | Execucao 3 | Itens: [MO, ZO, O, QUO]
Rodada 095 | Execucao 1 | Itens: [NO, MO, BO, GO]
Rodada 095 | Execucao 2 | Itens: [MO, PO, VO, JO]
Rodada 095 | Execucao 3 | Itens: [BO, QUO, TO, MO]
Rodada 096 | Execucao 1 | Itens: [ZO, GO, CO, MO]
Rodada 096 | Execucao 2 | Itens: [BO, DO, VO, SO]
Rodada 096 | Execucao 3 | Itens: [BO, DO, XO, PO]
Rodada 097 | Execucao 1 | Itens: [MO, CO, FO, DO]
Rodada 097 | Execucao 2 | Itens: [ZO, DO, NO, GO]
Rodada 097 | Execucao 3 | Itens: [CO, SO, QUO, MO]
Rodada 098 | Execucao 1 | Itens: [LO, XO, VO, CO]
Rodada 098 | Execucao 2 | Itens: [BO, TO, JO, MO]
Rodada 098 | Execucao 3 | Itens: [BO, FO, NO, TO]
Rodada 099 | Execucao 1 | Itens: [PO, ZO, GO, RO]
Rodada 099 | Execucao 2 | Itens: [RO, MO, CO, XO]
Rodada 099 | Execucao 3 | Itens: [JO, ZO, VO, QUO]
Rodada 100 | Execucao 1 | Itens: [GO, TO, DO, BO]
Rodada 100 | Execucao 2 | Itens: [VO, ZO, SO, MO]
Rodada 100 | Execucao 3 | Itens: [MO, VO, FO, GO]
Rodada 101 | Execucao 1 | Itens: [ZO, XO, O, NO]
Rodada 101 | Execucao 2 | Itens: [VO, GO, JO, BO]
Rodada 101 | Execucao 3 | Itens: [FO, O, VO, GO]
Rodada 102 | Execucao 1 | Itens: [CO, MO, NO, VO]
Rodada 102 | Execucao 2 | Itens: [GO, BO, JO, PO]
Rodada 102 | Execucao 3 | Itens: [FO, BO, DO, O]
Rodada 103 | Execucao 1 | Itens: [QUO, ZO, CO, FO]
Rodada 103 | Execucao 2 | Itens: [DO, ZO, BO, PO]
Rodada 103 | Execucao 3 | Itens: [GO, VO, JO, BO]
Rodada 104 | Execucao 1 | Itens: [JO, ZO, NO, QUO]
Rodada 104 | Execucao 2 | Itens: [LO, NO, O, MO]
Rodada 104 | Execucao 3 | Itens: [LO, DO, NO, XO]
Rodada 105 | Execucao 1 | Itens: [LO, FO, ZO, SO]
Rodada 105 | Execucao 2 | Itens: [NO, CO, DO, ZO]
Rodada 105 | Execucao 3 | Itens: [QUO, SO, XO, JO]
Rodada 106 | Execucao 1 | Itens: [XO, BO, LO, O]
Rodada 106 | Execucao 2 | Itens: [SO, LO, CO, GO]
Rodada 106 | Execucao 3 | Itens: [NO, ZO, DO, QUO]
Rodada 107 | Execucao 1 | Itens: [RO, LO, SO, TO]
Rodada 107 | Execucao 2 | Itens: [QUO, MO, FO, ZO]
Rodada 107 | Execucao 3 | Itens: [SO, NO, RO, MO]
Rodada 108 | Execucao 1 | Itens: [PO, ZO, DO, NO]
Rodada 108 | Execucao 2 | Itens: [MO, PO, O, LO]
Rodada 108 | Execucao 3 | Itens: [DO, FO, XO, MO]
Rodada 109 | Execucao 1 | Itens: [MO, DO, TO, SO]
Rodada 109 | Execucao 2 | Itens: [NO, PO, RO, TO]
Rodada 109 | Execucao 3 | Itens: [GO, RO, JO, VO]
Rodada 110 | Execucao 1 | Itens: [VO, QUO, GO, BO]
Rodada 110 | Execucao 2 | Itens: [FO, ZO, BO, JO]
Rodada 110 | Execucao 3 | Itens: [CO, GO, MO, SO]
Rodada 111 | Execucao 1 | Itens: [CO, XO, JO, QUO]
Rodada 111 | Execucao 2 | Itens: [O, CO, LO, RO]
Rodada 111 | Execucao 3 | Itens: [CO, MO, BO, SO]
Rodada 112 | Execucao 1 | Itens: [PO, ZO, CO, NO]
Rodada 112 | Execucao 2 | Itens: [RO, FO, JO, XO]
Rodada 112 | Execucao 3 | Itens: [LO, GO, O, CO]
Rodada 113 | Execucao 1 | Itens: [FO, VO, TO, BO]
Rodada 113 | Execucao 2 | Itens: [DO, CO, PO, O]
Rodada 113 | Execucao 3 | Itens: [JO, LO, VO, FO]
Rodada 114 | Execucao 1 | Itens: [CO, JO, PO, FO]
Rodada 114 | Execucao 2 | Itens: [O, FO, LO, TO]
Rodada 114 | Execucao 3 | Itens: [CO, FO, PO, GO]
Rodada 115 | Execucao 1 | Itens: [LO, TO, NO, FO]
Rodada 115 | Execucao 2 | Itens: [JO, TO, NO, RO]
Rodada 115 | Execucao 3 | Itens: [LO, BO, NO, JO]
Rodada 116 | Execucao 1 | Itens: [SO, RO, QUO, JO]
Rodada 116 | Execucao 2 | Itens: [TO, NO, DO, SO]
Rodada 116 | Execucao 3 | Itens: [SO, JO, PO, O]
Rodada 117 | Execucao 1 | Itens: [BO, RO, ZO, O]
Rodada 117 | Execucao 2 | Itens: [PO, CO, QUO, LO]
Rodada 117 | Execucao 3 | Itens: [NO, QUO, PO, BO]
Rodada 118 | Execucao 1 | Itens: [PO, JO, TO, CO]
Rodada 118 | Execucao 2 | Itens: [MO, DO, XO, ZO]
Rodada 118 | Execucao 3 | Itens: [SO, JO, PO, FO]
Rodada 119 | Execucao 1 | Itens: [VO, TO, BO, FO]
Rodada 119 | Execucao 2 | Itens: [VO, CO, LO, O]
Rodada 119 | Execucao 3 | Itens: [VO, O, RO, TO]
Rodada 120 | Execucao 1 | Itens: [JO, RO, DO, MO]
Rodada 120 | Execucao 2 | Itens: [PO, CO, O, QUO]
Rodada 120 | Execucao 3 | Itens: [PO, RO, CO, NO]
Rodada 121 | Execucao 1 | Itens: [QUO, NO, FO, PO]
Rodada 121 | Execucao 2 | Itens: [RO, XO, ZO, SO]
Rodada 121 | Execucao 3 | Itens: [TO, QUO, JO, NO]
Rodada 122 | Execucao 1 | Itens: [XO, PO, VO, JO]
Rodada 122 | Execucao 2 | Itens: [VO, GO, MO, SO]
Rodada 122 | Execucao 3 | Itens: [FO, GO, XO, JO]
Rodada 123 | Execucao 1 | Itens: [TO, SO, O, DO]
Rodada 123 | Execucao 2 | Itens: [GO, DO, FO, VO]
Rodada 123 | Execucao 3 | Itens: [VO, LO, XO, DO]
Rodada 124 | Execucao 1 | Itens: [NO, TO, FO, RO]
Rodada 124 | Execucao 2 | Itens: [PO, QUO, TO, NO]
Rodada 124 | Execucao 3 | Itens: [MO, BO, ZO, GO]
Rodada 125 | Execucao 1 | Itens: [O, PO, RO, VO]
Rodada 125 | Execucao 2 | Itens: [LO, XO, FO, PO]
Rodada 125 | Execucao 3 | Itens: [NO, PO, SO, RO]
Rodada 126 | Execucao 1 | Itens: [VO, NO, ZO, PO]
Rodada 126 | Execucao 2 | Itens: [NO, DO, MO, XO]
Rodada 126 | Execucao 3 | Itens: [CO, RO, PO, VO]
Rodada 127 | Execucao 1 | Itens: [XO, FO, ZO, BO]
Rodada 127 | Execucao 2 | Itens: [ZO, PO, VO, XO]
Rodada 127 | Execucao 3 | Itens: [RO, NO, ZO, CO]
Rodada 128 | Execucao 1 | Itens: [O, XO, VO, JO]
Rodada 128 | Execucao 2 | Itens: [TO, VO, ZO, CO]
Rodada 128 | Execucao 3 | Itens: [VO, GO, JO, NO]
Rodada 129 | Execucao 1 | Itens: [QUO, XO, RO, LO]
Rodada 129 | Execucao 2 | Itens: [NO, ZO, JO, RO]
Rodada 129 | Execucao 3 | Itens: [QUO, O, RO, ZO]
Rodada 130 | Execucao 1 | Itens: [QUO, DO, LO, XO]
Rodada 130 | Execucao 2 | Itens: [JO, CO, DO, SO]
Rodada 130 | Execucao 3 | Itens: [RO, ZO, JO, GO]
Rodada 131 | Execucao 1 | Itens: [BO, ZO, TO, FO]
Rodada 131 | Execucao 2 | Itens: [CO, FO, SO, JO]
Rodada 131 | Execucao 3 | Itens: [RO, BO, ZO, SO]
Rodada 132 | Execucao 1 | Itens: [VO, BO, QUO, NO]
Rodada 132 | Execucao 2 | Itens: [VO, O, RO, QUO]
Rodada 132 | Execucao 3 | Itens: [NO, BO, SO, PO]
Rodada 133 | Execucao 1 | Itens: [JO, CO, LO, SO]
Rodada 133 | Execucao 2 | Itens: [VO, CO, XO, LO]
Rodada 133 | Execucao 3 | Itens: [GO, SO, ZO, RO]
Rodada 134 | Execucao 1 | Itens: [XO, RO, FO, MO]
Rodada 134 | Execucao 2 | Itens: [GO, VO, O, SO]
Rodada 134 | Execucao 3 | Itens: [CO, VO, DO, PO]
Rodada 135 | Execucao 1 | Itens: [JO, FO, QUO, MO]
Rodada 135 | Execucao 2 | Itens: [NO, QUO, CO, PO]
Rodada 135 | Execucao 3 | Itens: [QUO, BO, DO, MO]
Rodada 136 | Execucao 1 | Itens: [VO, XO, FO, SO]
Rodada 136 | Execucao 2 | Itens: [FO, LO, DO, PO]
Rodada 136 | Execucao 3 | Itens: [MO, GO, RO, JO]
Rodada 137 | Execucao 1 | Itens: [ZO, FO, TO, JO]
Rodada 137 | Execucao 2 | Itens: [PO, MO, DO, CO]
Rodada 137 | Execucao 3 | Itens: [ZO, O, DO, VO]
Rodada 138 | Execucao 1 | Itens: [DO, BO, SO, ZO]
Rodada 138 | Execucao 2 | Itens: [XO, LO, RO, JO]
Rodada 138 | Execucao 3 | Itens: [PO, O, ZO, RO]
Rodada 139 | Execucao 1 | Itens: [VO, CO, JO, QUO]
Rodada 139 | Execucao 2 | Itens: [LO, NO, VO, GO]
Rodada 139 | Execucao 3 | Itens: [FO, O, XO, MO]
Rodada 140 | Execucao 1 | Itens: [MO, XO, PO, NO]
Rodada 140 | Execucao 2 | Itens: [JO, RO, FO, PO]
Rodada 140 | Execucao 3 | Itens: [BO, DO, O, VO]
Rodada 141 | Execucao 1 | Itens: [ZO, LO, BO, MO]
Rodada 141 | Execucao 2 | Itens: [BO, ZO, QUO, DO]
Rodada 141 | Execucao 3 | Itens: [QUO, FO, PO, O]
Rodada 142 | Execucao 1 | Itens: [DO, QUO, LO, MO]
Rodada 142 | Execucao 2 | Itens: [TO, ZO, CO, GO]
Rodada 142 | Execucao 3 | Itens: [GO, LO, FO, CO]
Rodada 143 | Execucao 1 | Itens: [RO, LO, DO, TO]
Rodada 143 | Execucao 2 | Itens: [LO, ZO, SO, JO]
Rodada 143 | Execucao 3 | Itens: [LO, QUO, GO, RO]
Rodada 144 | Execucao 1 | Itens: [ZO, RO, JO, SO]
Rodada 144 | Execucao 2 | Itens: [O, MO, PO, FO]
Rodada 144 | Execucao 3 | Itens: [DO, BO, O, VO]
Rodada 145 | Execucao 1 | Itens: [NO, O, SO, RO]
Rodada 145 | Execucao 2 | Itens: [LO, VO, DO, RO]
Rodada 145 | Execucao 3 | Itens: [BO, NO, XO, JO]
Rodada 146 | Execucao 1 | Itens: [TO, JO, SO, DO]
Rodada 146 | Execucao 2 | Itens: [ZO, VO, DO, SO]
Rodada 146 | Execucao 3 | Itens: [BO, LO, TO, CO]
Rodada 147 | Execucao 1 | Itens: [BO, XO, ZO, FO]
Rodada 147 | Execucao 2 | Itens: [NO, PO, CO, RO]
Rodada 147 | Execucao 3 | Itens: [VO, QUO, GO, O]
Rodada 148 | Execucao 1 | Itens: [FO, XO, SO, VO]
Rodada 148 | Execucao 2 | Itens: [SO, VO, MO, JO]
Rodada 148 | Execucao 3 | Itens: [O, PO, DO, LO]
Rodada 149 | Execucao 1 | Itens: [LO, FO, NO, XO]
Rodada 149 | Execucao 2 | Itens: [BO, PO, RO, SO]
Rodada 149 | Execucao 3 | Itens: [QUO, XO, NO, FO]
Rodada 150 | Execucao 1 | Itens: [NO, TO, RO, O]
Rodada 150 | Execucao 2 | Itens: [JO, O, SO, GO]
Rodada 150 | Execucao 3 | Itens: [LO, GO, XO, ZO]
Rodada 151 | Execucao 1 | Itens: [SO, XO, GO, FO]
Rodada 151 | Execucao 2 | Itens: [O, QUO, MO, NO]
Rodada 151 | Execucao 3 | Itens: [DO, VO, CO, ZO]
Rodada 152 | Execucao 1 | Itens: [BO, CO, VO, XO]
Rodada 152 | Execucao 2 | Itens: [NO, JO, RO, ZO]
Rodada 152 | Execucao 3 | Itens: [TO, MO, SO, XO]
Rodada 153 | Execucao 1 | Itens: [O, DO, CO, LO]
Rodada 153 | Execucao 2 | Itens: [MO, NO, CO, TO]
Rodada 153 | Execucao 3 | Itens: [PO, TO, ZO, VO]
Rodada 154 | Execucao 1 | Itens: [TO, ZO, LO, QUO]
Rodada 154 | Execucao 2 | Itens: [CO, RO, PO, XO]
Rodada 154 | Execucao 3 | Itens: [JO, DO, CO, RO]
Rodada 155 | Execucao 1 | Itens: [LO, O, XO, NO]
Rodada 155 | Execucao 2 | Itens: [QUO, PO, DO, ZO]
Rodada 155 | Execucao 3 | Itens: [SO, VO, GO, XO]
Rodada 156 | Execucao 1 | Itens: [QUO, BO, PO, TO]
Rodada 156 | Execucao 2 | Itens: [DO, O, LO, BO]
Rodada 156 | Execucao 3 | Itens: [CO, SO, QUO, ZO]
Rodada 157 | Execucao 1 | Itens: [BO, TO, SO, LO]
Rodada 157 | Execucao 2 | Itens: [DO, RO, NO, SO]
Rodada 157 | Execucao 3 | Itens: [BO, XO, VO, O]
Rodada 158 | Execucao 1 | Itens: [GO, XO, QUO, BO]
Rodada 158 | Execucao 2 | Itens: [NO, MO, QUO, DO]
Rodada 158 | Execucao 3 | Itens: [DO, MO, JO, FO]
Rodada 159 | Execucao 1 | Itens: [QUO, RO, DO, NO]
Rodada 159 | Execucao 2 | Itens: [JO, PO, VO, O]
Rodada 159 | Execucao 3 | Itens: [VO, RO, GO, JO]
Rodada 160 | Execucao 1 | Itens: [QUO, RO, MO, FO]
Rodada 160 | Execucao 2 | Itens: [FO, TO, QUO, GO]
Rodada 160 | Execucao 3 | Itens: [CO, BO, RO, PO]
Rodada 161 | Execucao 1 | Itens: [CO, MO, PO, XO]
Rodada 161 | Execucao 2 | Itens: [TO, O, GO, MO]
Rodada 161 | Execucao 3 | Itens: [LO, MO, QUO, O]
Rodada 162 | Execucao 1 | Itens: [VO, JO, TO, LO]
Rodada 162 | Execucao 2 | Itens: [BO, SO, O, QUO]
Rodada 162 | Execucao 3 | Itens: [QUO, VO, JO, CO]
Rodada 163 | Execucao 1 | Itens: [O, MO, XO, QUO]
Rodada 163 | Execucao 2 | Itens: [PO, MO, VO, FO]
Rodada 163 | Execucao 3 | Itens: [BO, RO, PO, MO]
Rodada 164 | Execucao 1 | Itens: [XO, ZO, VO, MO]
Rodada 164 | Execucao 2 | Itens: [QUO, ZO, PO, CO]
Rodada 164 | Execucao 3 | Itens: [MO, BO, O, LO]
Rodada 165 | Execucao 1 | Itens: [ZO, GO, XO, DO]
Rodada 165 | Execucao 2 | Itens: [ZO, VO, GO, TO]
Rodada 165 | Execucao 3 | Itens: [CO, PO, SO, VO]
Rodada 166 | Execucao 1 | Itens: [VO, FO, SO, QUO]
Rodada 166 | Execucao 2 | Itens: [ZO, JO, LO, XO]
Rodada 166 | Execucao 3 | Itens: [ZO, FO, O, GO]
Rodada 167 | Execucao 1 | Itens: [PO, ZO, NO, BO]
Rodada 167 | Execucao 2 | Itens: [SO, TO, DO, BO]
Rodada 167 | Execucao 3 | Itens: [VO, DO, SO, CO]
Rodada 168 | Execucao 1 | Itens: [ZO, VO, FO, RO]
Rodada 168 | Execucao 2 | Itens: [VO, QUO, RO, FO]
Rodada 168 | Execucao 3 | Itens: [DO, PO, RO, GO]
Rodada 169 | Execucao 1 | Itens: [MO, DO, SO, CO]
Rodada 169 | Execucao 2 | Itens: [LO, PO, SO, JO]
Rodada 169 | Execucao 3 | Itens: [GO, DO, BO, ZO]
Rodada 170 | Execucao 1 | Itens: [VO, O, RO, JO]
Rodada 170 | Execucao 2 | Itens: [LO, O, JO, QUO]
Rodada 170 | Execucao 3 | Itens: [QUO, BO, VO, MO]
Rodada 171 | Execucao 1 | Itens: [TO, O, ZO, MO]
Rodada 171 | Execucao 2 | Itens: [MO, TO, PO, ZO]
Rodada 171 | Execucao 3 | Itens: [XO, PO, FO, SO]
Rodada 172 | Execucao 1 | Itens: [VO, SO, NO, CO]
Rodada 172 | Execucao 2 | Itens: [DO, PO, CO, BO]
Rodada 172 | Execucao 3 | Itens: [PO, JO, ZO, NO]
Rodada 173 | Execucao 1 | Itens: [TO, O, LO, NO]
Rodada 173 | Execucao 2 | Itens: [SO, CO, NO, JO]
Rodada 173 | Execucao 3 | Itens: [SO, RO, O, BO]
Rodada 174 | Execucao 1 | Itens: [JO, FO, VO, CO]
Rodada 174 | Execucao 2 | Itens: [FO, LO, TO, ZO]
Rodada 174 | Execucao 3 | Itens: [MO, RO, QUO, SO]
Rodada 175 | Execucao 1 | Itens: [BO, NO, QUO, PO]
Rodada 175 | Execucao 2 | Itens: [VO, O, ZO, RO]
Rodada 175 | Execucao 3 | Itens: [NO, GO, DO, CO]
Rodada 176 | Execucao 1 | Itens: [CO, DO, ZO, SO]
Rodada 176 | Execucao 2 | Itens: [PO, GO, O, RO]
Rodada 176 | Execucao 3 | Itens: [NO, QUO, TO, SO]
Rodada 177 | Execucao 1 | Itens: [CO, JO, DO, FO]
Rodada 177 | Execucao 2 | Itens: [GO, BO, MO, VO]
Rodada 177 | Execucao 3 | Itens: [GO, MO, CO, VO]
Rodada 178 | Execucao 1 | Itens: [QUO, MO, JO, NO]
Rodada 178 | Execucao 2 | Itens: [NO, XO, MO, GO]
Rodada 178 | Execucao 3 | Itens: [ZO, LO, VO, XO]
Rodada 179 | Execucao 1 | Itens: [MO, VO, FO, LO]
Rodada 179 | Execucao 2 | Itens: [BO, TO, CO, XO]
Rodada 179 | Execucao 3 | Itens: [BO, NO, TO, JO]
Rodada 180 | Execucao 1 | Itens: [JO, ZO, PO, TO]
Rodada 180 | Execucao 2 | Itens: [CO, FO, JO, VO]
Rodada 180 | Execucao 3 | Itens: [O, BO, CO, RO]
Rodada 181 | Execucao 1 | Itens: [TO, XO, FO, DO]
Rodada 181 | Execucao 2 | Itens: [PO, BO, O, GO]
Rodada 181 | Execucao 3 | Itens: [PO, O, GO, JO]
Rodada 182 | Execucao 1 | Itens: [PO, BO, SO, JO]
Rodada 182 | Execucao 2 | Itens: [O, JO, TO, GO]
Rodada 182 | Execucao 3 | Itens: [FO, RO, GO, VO]
Rodada 183 | Execucao 1 | Itens: [QUO, BO, LO, NO]
Rodada 183 | Execucao 2 | Itens: [GO, JO, LO, QUO]
Rodada 183 | Execucao 3 | Itens: [ZO, QUO, FO, CO]
Rodada 184 | Execucao 1 | Itens: [VO, TO, RO, PO]
Rodada 184 | Execucao 2 | Itens: [SO, XO, PO, LO]
Rodada 184 | Execucao 3 | Itens: [MO, DO, QUO, SO]
Rodada 185 | Execucao 1 | Itens: [MO, GO, LO, PO]
Rodada 185 | Execucao 2 | Itens: [LO, JO, FO, O]
Rodada 185 | Execucao 3 | Itens: [O, ZO, GO, RO]
Rodada 186 | Execucao 1 | Itens: [BO, TO, QUO, VO]
Rodada 186 | Execucao 2 | Itens: [PO, BO, ZO, VO]
Rodada 186 | Execucao 3 | Itens: [DO, JO, LO, VO]
Rodada 187 | Execucao 1 | Itens: [FO, XO, MO, JO]
Rodada 187 | Execucao 2 | Itens: [XO, GO, ZO, MO]
Rodada 187 | Execucao 3 | Itens: [PO, XO, MO, DO]
Rodada 188 | Execucao 1 | Itens: [BO, JO, CO, PO]
Rodada 188 | Execucao 2 | Itens: [O, JO, NO, LO]
Rodada 188 | Execucao 3 | Itens: [ZO, DO, FO, LO]
Rodada 189 | Execucao 1 | Itens: [DO, RO, NO, FO]
Rodada 189 | Execucao 2 | Itens: [QUO, VO, TO, MO]
Rodada 189 | Execucao 3 | Itens: [RO, JO, MO, O]
Rodada 190 | Execucao 1 | Itens: [DO, GO, BO, FO]
Rodada 190 | Execucao 2 | Itens: [QUO, VO, XO, GO]
Rodada 190 | Execucao 3 | Itens: [ZO, GO, BO, RO]
Rodada 191 | Execucao 1 | Itens: [TO, NO, PO, LO]
Rodada 191 | Execucao 2 | Itens: [QUO, CO, GO, RO]
Rodada 191 | Execucao 3 | Itens: [BO, XO, PO, DO]
Rodada 192 | Execucao 1 | Itens: [SO, XO, MO, BO]
Rodada 192 | Execucao 2 | Itens: [BO, QUO, VO, GO]
Rodada 192 | Execucao 3 | Itens: [RO, PO, O, DO]
Rodada 193 | Execucao 1 | Itens: [MO, RO, VO, O]
Rodada 193 | Execucao 2 | Itens: [JO, QUO, GO, TO]
Rodada 193 | Execucao 3 | Itens: [JO, CO, VO, SO]
Rodada 194 | Execucao 1 | Itens: [SO, JO, FO, NO]
Rodada 194 | Execucao 2 | Itens: [MO, BO, NO, O]
Rodada 194 | Execucao 3 | Itens: [BO, FO, MO, NO]
Rodada 195 | Execucao 1 | Itens: [FO, ZO, CO, VO]
Rodada 195 | Execucao 2 | Itens: [TO, DO, JO, ZO]
Rodada 195 | Execucao 3 | Itens: [LO, RO, O, BO]
Rodada 196 | Execucao 1 | Itens: [SO, JO, PO, XO]
Rodada 196 | Execucao 2 | Itens: [QUO, TO, CO, DO]
Rodada 196 | Execucao 3 | Itens: [ZO, RO, DO, QUO]
Rodada 197 | Execucao 1 | Itens: [JO, QUO, TO, SO]
Rodada 197 | Execucao 2 | Itens: [QUO, CO, FO, SO]
Rodada 197 | Execucao 3 | Itens: [FO, PO, TO, BO]
Rodada 198 | Execucao 1 | Itens: [FO, DO, PO, BO]
Rodada 198 | Execucao 2 | Itens: [LO, O, XO, SO]
Rodada 198 | Execucao 3 | Itens: [ZO, JO, VO, XO]
Rodada 199 | Execucao 1 | Itens: [TO, LO, JO, VO]
Rodada 199 | Execucao 2 | Itens: [SO, PO, O, CO]
Rodada 199 | Execucao 3 | Itens: [LO, FO, CO, TO]
Rodada 200 | Execucao 1 | Itens: [ZO, DO, FO, PO]
Rodada 200 | Execucao 2 | Itens: [TO, GO, VO, BO]
Rodada 200 | Execucao 3 | Itens: [TO, MO, CO, DO]

----------------------------------------------------------------------
  CATEGORIA: Palavras - Vogal A
----------------------------------------------------------------------
Rodada 001 | Execucao 1 | Itens: [ARARA, MALA, LATA, SALADA]
Rodada 001 | Execucao 2 | Itens: [SALADA, ARARA, CAMA, FACA]
Rodada 001 | Execucao 3 | Itens: [SALADA, LATA, FACA, BALA]
Rodada 002 | Execucao 1 | Itens: [LATA, CAMA, BANANA, MALA]
Rodada 002 | Execucao 2 | Itens: [BATATA, LATA, VACA, ARARA]
Rodada 002 | Execucao 3 | Itens: [BALA, CAMA, LATA, BANANA]
Rodada 003 | Execucao 1 | Itens: [FACA, BATATA, CAMA, VACA]
Rodada 003 | Execucao 2 | Itens: [BALA, CAMA, SALADA, LATA]
Rodada 003 | Execucao 3 | Itens: [MALA, SALADA, VACA, BANANA]
